HS Hafnaf (Adaltafla  09/22/10 14:10)	Phase A Current Harmonics Summary, RMS Values. Sep 23 2010 14:10:56 (K=0.5)
27	0.086	0.777
28	0.000	0.259
29	0.086	1.122
30	0.000	0.345
31	0.086	0.432
32	0.086	0.432
33	0.086	0.432
34	0.000	0.259
35	0.086	0.345
36	0.000	0.432
37	0.086	0.432
38	0.000	0.432
39	0.000	0.345
40	0.086	0.432
41	0.086	0.345
42	0.000	0.345
43	0.000	0.432
44	0.000	0.432
45	0.000	0.518
46	0.000	0.518
47	0.000	0.691
48	0.000	0.604
49	0.000	0.604
50	0.000	0.604
51	0.000	0.604
52	0.000	0.691
53	0.000	0.863
54	0.000	0.777
55	0.086	0.863
56	0.086	0.863
57	0.086	1.036
58	0.086	0.777
59	0.086	1.036
60	0.086	1.122
61	0.086	1.036
62	0.086	1.122
63	0.086	1.295

HS Hafnaf (Adaltafla  09/22/10 14:10)	Phase C Current Harmonics Summary, RMS Values. Sep 23 2010 14:10:56 (K=0.5)
Harm	Avg	Max
1	16.127	47.190
2	0.052	4.448
3	1.237	3.088
4	0.032	0.991
5	0.745	1.690
6	0.026	1.139
7	1.373	3.367
8	0.026	0.971
9	0.622	1.787
10	0.019	0.984
11	0.544	2.706
12	0.019	1.081
13	0.246	1.224
14	0.013	0.796
15	0.168	0.783
16	0.013	0.848
17	0.252	0.880
18	0.013	0.803
19	0.149	0.686
20	0.006	0.673
21	0.091	1.735
22	0.013	0.550
23	0.091	0.667
24	0.013	0.505
25	0.123	0.654
26	0.006	0.499
27	0.045	0.479
28	0.006	0.479
29	0.045	0.524
30	0.006	0.401
31	0.045	0.382
32	0.006	0.330
33	0.026	0.324
34	0.006	0.291
35	0.039	0.311
36	0.006	0.298
37	0.032	0.259
38	0.006	0.252
39	0.032	0.285
40	0.006	0.227
41	0.026	0.214
42	0.006	0.168
43	0.019	0.207
44	0.000	0.162
45	0.019	0.155
46	0.000	0.149
47	0.019	0.168
48	0.000	0.149
49	0.013	0.117
50	0.000	0.136
51	0.013	0.129
52	0.000	0.136
53	0.006	0.129
54	0.000	0.123
55	0.013	0.175
56	0.006	0.117
57	0.006	0.149
58	0.000	0.168
59	0.013	0.188
60	0.006	0.194
61	0.006	0.175
62	0.006	0.194
63	0.006	0.201

HS Hafnaf (Adaltafla  09/22/10 14:10)	Neutral Voltage Harmonics Summary, RMS Values. Sep 23 2010 14:10:56 (K=1)
Harm	Avg	Max
1	0.000	0.259
2	0.000	0.259
3	0.000	0.173
4	0.000	0.173
5	0.000	0.173
6	0.000	0.173
7	0.000	0.173
8	0.000	0.259
9	0.000	0.259
10	0.000	0.173
11	0.000	0.173
12	0.000	0.173
13	0.000	0.173
14	0.000	0.173
15	0.000	0.259
16	0.000	0.173
17	0.000	0.173
18	0.000	0.173
19	0.000	0.173
20	0.000	0.173
21	0.000	0.173
22	0.000	0.259
23	0.000	0.173
24	0.000	0.173
25	0.000	0.173
26	0.000	0.173
27	0.000	0.173
28	0.000	0.173
29	0.000	0.173
30	0.000	0.173
31	0.000	0.173
32	0.000	0.345
33	0.000	0.259
34	0.000	0.259
35	0.000	0.259
36	0.000	0.259
37	0.000	0.345
38	0.000	0.259
39	0.000	0.259
40	0.000	0.345
41	0.000	0.259
42	0.000	0.345
43	0.000	0.259
44	0.000	0.345
45	0.000	0.345
46	0.000	0.345
47	0.000	0.518
48	0.000	0.432
49	0.000	0.432
50	0.000	0.432
51	0.000	0.432
52	0.000	0.518
53	0.000	0.604
54	0.000	0.518
55	0.000	0.604
56	0.086	0.863
57	0.000	0.604
58	0.000	0.604
59	0.000	0.604
60	0.000	0.691
61	0.000	0.691
62	0.000	0.777
63	0.000	0.863

